"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/11/2023","226.11","225.63","228.00","224.12","92.31K","-0.24%"
"10/11/2023","226.65","227.61","229.82","226.20","124.35K","-0.69%"
"09/11/2023","228.22","225.69","231.44","225.69","129.93K","0.52%"
"08/11/2023","227.03","218.27","227.03","216.63","124.59K","4.00%"
"07/11/2023","218.29","217.73","221.57","217.73","88.80K","-0.59%"
"06/11/2023","219.59","217.77","219.59","215.54","76.17K","0.85%"
"03/11/2023","217.75","217.97","219.44","216.42","91.36K","-0.10%"
"02/11/2023","217.97","209.83","218.38","208.06","116.15K","3.97%"
"01/11/2023","209.65","205.74","209.68","203.33","95.16K","1.69%"
"31/10/2023","206.17","211.55","212.93","204.48","102.67K","-2.45%"
"30/10/2023","211.34","217.98","218.35","211.34","64.54K","-3.07%"
"27/10/2023","218.04","214.33","218.47","212.63","79.20K","1.42%"
"26/10/2023","214.98","226.79","226.94","213.06","175.43K","-5.30%"
"25/10/2023","227.01","228.89","230.80","226.73","71.90K","-0.82%"
"24/10/2023","228.89","224.53","228.96","224.08","60.81K","1.16%"
"23/10/2023","226.26","227.30","229.55","225.15","63.53K","-0.96%"
"20/10/2023","228.45","223.41","228.45","220.90","92.00K","2.24%"
"19/10/2023","223.45","227.11","227.60","222.61","76.28K","-1.61%"
"18/10/2023","227.11","230.03","231.86","221.67","128.61K","-1.27%"
"17/10/2023","230.03","236.47","237.73","230.02","90.83K","-2.72%"
"16/10/2023","236.46","239.05","240.61","236.33","85.90K","-1.08%"
"13/10/2023","239.05","238.47","239.69","235.78","88.80K","0.26%"
"12/10/2023","238.44","237.06","239.98","236.27","96.64K","0.61%"
"11/10/2023","237.00","234.30","237.02","233.43","89.38K","1.21%"
"10/10/2023","234.17","233.55","236.61","233.07","96.73K","0.27%"
"09/10/2023","233.55","230.53","233.57","230.49","77.89K","1.35%"
"06/10/2023","230.45","228.01","230.53","225.78","71.44K","1.07%"
"05/10/2023","228.01","230.20","232.32","227.99","67.82K","-0.95%"
"04/10/2023","230.20","226.45","232.24","222.92","92.00K","1.55%"
"03/10/2023","226.68","236.72","236.80","226.30","134.89K","-4.24%"
"02/10/2023","236.72","236.35","238.17","235.74","63.84K","0.16%"
"29/09/2023","236.35","234.58","236.88","234.08","79.61K","0.79%"
"28/09/2023","234.50","235.84","236.17","231.81","82.31K","-0.57%"
"27/09/2023","235.84","229.75","235.85","227.89","98.77K","2.65%"
"26/09/2023","229.75","231.43","235.62","229.68","120.45K","-0.76%"
"25/09/2023","231.50","243.12","243.84","231.50","130.45K","-4.79%"
"22/09/2023","243.15","251.91","251.91","240.90","174.47K","-3.46%"
"21/09/2023","251.87","254.82","255.57","251.24","101.43K","-1.16%"
"20/09/2023","254.82","250.22","254.83","250.05","77.55K","1.84%"
"19/09/2023","250.22","249.73","252.33","247.29","86.51K","-0.10%"
"18/09/2023","250.48","252.74","253.10","249.31","78.25K","-0.90%"
"15/09/2023","252.76","251.86","254.54","251.05","82.27K","0.36%"
"14/09/2023","251.86","256.11","256.97","251.80","121.71K","-1.66%"
"13/09/2023","256.11","256.32","259.03","254.29","116.46K","-0.08%"
"12/09/2023","256.32","251.10","256.36","250.46","97.51K","1.99%"
"11/09/2023","251.33","256.20","258.32","251.33","130.34K","-1.90%"
"08/09/2023","256.20","256.13","257.81","255.32","107.23K","0.02%"
"07/09/2023","256.14","255.36","257.74","254.72","117.39K","0.31%"
"06/09/2023","255.36","252.16","255.37","250.85","105.69K","1.22%"
"05/09/2023","252.28","249.75","252.95","248.04","111.88K","1.01%"
"31/08/2023","249.75","247.96","249.77","247.91","94.76K","0.72%"
"30/08/2023","247.96","246.47","248.20","244.90","95.31K","0.60%"
"29/08/2023","246.48","244.92","248.02","244.92","104.02K","0.65%"
"28/08/2023","244.88","243.02","244.98","241.29","99.66K","0.82%"
"25/08/2023","242.90","243.23","245.14","242.11","94.82K","-0.14%"
"24/08/2023","243.23","238.07","243.23","237.54","99.97K","2.17%"
"23/08/2023","238.07","239.65","241.77","237.63","70.25K","-0.66%"
"22/08/2023","239.65","238.04","239.86","231.74","118.70K","0.71%"
"21/08/2023","237.97","235.87","239.05","232.92","116.51K","0.85%"
"18/08/2023","235.96","249.99","249.99","235.23","238.17K","-5.60%"
"17/08/2023","249.97","252.56","253.62","249.97","137.34K","-1.03%"
"16/08/2023","252.56","251.65","252.83","250.71","103.37K","0.44%"
"15/08/2023","251.45","250.63","253.53","250.63","119.71K","0.40%"
"14/08/2023","250.44","245.07","250.69","245.01","132.87K","2.12%"
"11/08/2023","245.25","243.91","245.60","241.69","108.97K","0.55%"
"10/08/2023","243.91","245.88","247.22","243.73","131.57K","-0.80%"
"09/08/2023","245.88","246.22","247.84","245.36","126.45K","-0.08%"
"08/08/2023","246.07","245.65","247.85","245.64","158.28K","0.16%"
"07/08/2023","245.68","242.51","246.24","242.51","120.02K","1.35%"
"04/08/2023","242.41","239.77","242.70","239.58","106.35K","1.10%"
"03/08/2023","239.77","241.31","242.27","239.18","100.24K","-0.64%"
"02/08/2023","241.31","239.35","241.94","239.04","94.42K","0.82%"
"01/08/2023","239.35","239.56","241.74","239.29","147.18K","-0.08%"
"31/07/2023","239.55","237.54","240.62","237.44","114.84K","0.85%"
"28/07/2023","237.54","235.64","237.84","235.63","121.97K","0.81%"
"27/07/2023","235.64","236.20","237.67","234.21","106.45K","-0.24%"
"26/07/2023","236.20","236.93","237.94","235.34","74.18K","-0.31%"
"25/07/2023","236.93","235.82","237.66","234.77","107.43K","0.17%"
"24/07/2023","236.53","234.86","237.48","233.92","126.56K","0.66%"
"21/07/2023","234.98","233.19","234.99","233.19","91.78K","0.82%"
"20/07/2023","233.07","232.12","233.19","230.74","87.05K","0.69%"
"19/07/2023","231.47","230.98","233.29","230.93","91.27K","0.22%"
"18/07/2023","230.96","230.94","232.15","230.04","95.87K","0.00%"
"17/07/2023","230.95","230.20","231.91","230.15","113.37K","0.33%"
"14/07/2023","230.19","230.11","231.69","228.31","105.55K","0.10%"
"13/07/2023","229.97","228.88","230.23","228.01","99.23K","0.48%"
"12/07/2023","228.88","229.22","230.55","228.13","95.47K","-0.15%"
"11/07/2023","229.22","228.33","230.54","228.04","111.72K","0.37%"
"10/07/2023","228.37","225.82","228.78","225.81","120.40K","1.13%"
"07/07/2023","225.82","225.07","225.82","222.93","81.14K","0.33%"
"06/07/2023","225.08","227.84","228.09","223.81","109.12K","-1.21%"
"05/07/2023","227.84","228.76","230.12","227.63","90.33K","-0.40%"
"04/07/2023","228.76","226.52","228.79","226.35","108.29K","0.95%"
"03/07/2023","226.60","227.32","228.35","225.80","74.97K","-0.32%"
"30/06/2023","227.32","226.49","228.00","224.40","63.93K","-0.07%"
"29/06/2023","227.48","230.22","230.60","227.48","94.20K","-1.20%"
"28/06/2023","230.25","230.85","231.53","229.03","77.79K","-0.25%"
"27/06/2023","230.82","231.01","232.00","229.44","68.20K","-0.08%"
"26/06/2023","231.01","231.54","232.09","228.03","114.65K","-0.23%"
"23/06/2023","231.54","231.91","233.30","230.83","122.05K","-0.16%"
"22/06/2023","231.91","231.81","233.39","230.81","107.16K","0.06%"
"21/06/2023","231.77","228.77","231.77","228.66","100.62K","1.31%"
"20/06/2023","228.77","226.52","228.79","226.10","77.08K","0.99%"
"19/06/2023","226.52","228.37","229.02","226.31","127.55K","-0.84%"
"16/06/2023","228.44","229.53","232.13","228.44","135.52K","-0.47%"
"15/06/2023","229.53","228.92","229.54","227.76","89.33K","0.27%"
