time,close
2022-08-27,209.64
2022-08-28,209.64
2022-08-29,209.81
2022-08-30,215.62
2022-08-31,222.43
2022-09-01,230.63
2022-09-02,219.15
2022-09-03,219.15
2022-09-04,219.15
2022-09-05,219.18
2022-09-06,219.23
2022-09-07,219.29
2022-09-08,219.29
2022-09-09,207.92
2022-09-10,207.92
2022-09-11,207.92
2022-09-12,207.97
2022-09-13,202.59
2022-09-14,202.01
2022-09-15,203.48
2022-09-16,206.67
2022-09-17,206.67
2022-09-18,206.67
2022-09-19,206.69
2022-09-20,219.8
2022-09-21,222.19
2022-09-22,212.35
2022-09-23,215.84
2022-09-24,215.84
2022-09-25,215.84
2022-09-26,218.34
2022-09-27,225.71
2022-09-28,231.44
2022-09-29,241.39
2022-09-30,248.76
2022-10-01,248.76
2022-10-02,248.76
2022-10-03,324.02
2022-10-04,306.57
2022-10-05,375.37
2022-10-06,350.02
2022-10-07,314.6
2022-10-08,314.6
2022-10-09,314.6
2022-10-10,304.66
2022-10-11,318.15
2022-10-12,335.99
2022-10-13,336.13
2022-10-14,321.01
2022-10-15,321.01
2022-10-16,321.01
2022-10-17,279.84
2022-10-18,254.55
2022-10-19,262.66
2022-10-20,268.29
2022-10-21,265.21
2022-10-22,265.21
2022-10-23,265.21
2022-10-24,267.92
2022-10-25,257.61
2022-10-26,265.27
2022-10-27,254.34
2022-10-28,264.97
2022-10-29,264.97
2022-10-30,264.97
2022-10-31,259.86
2022-11-01,259.7
2022-11-02,272.1
2022-11-03,320.34
2022-11-04,314.81
2022-11-05,314.81
2022-11-06,314.81
2022-11-07,313.27
2022-11-08,309.58
2022-11-09,339.33
2022-11-10,301.66
2022-11-11,292.4
2022-11-12,292.4
2022-11-13,292.4
2022-11-14,297.1
2022-11-15,297.21
2022-11-16,316.98
2022-11-17,334.83
2022-11-18,324.67
2022-11-19,324.67
2022-11-20,324.67
2022-11-21,319.69
2022-11-22,309.75
2022-11-23,334.58
2022-11-24,329.37
2022-11-25,344.75
2022-11-26,344.75
2022-11-27,344.75
2022-11-28,402.98
2022-11-29,405.52
2022-11-30,441.72
2022-12-01,425.97
2022-12-02,409.36
2022-12-03,409.36
2022-12-04,409.36
2022-12-05,391.58
2022-12-06,393.89
2022-12-07,399.0
2022-12-08,416.54
2022-12-09,406.84
2022-12-10,406.84
2022-12-11,406.84
2022-12-12,403.3
2022-12-13,381.31
2022-12-14,378.61
2022-12-15,387.03
2022-12-16,398.98
2022-12-17,398.98
2022-12-18,398.98
2022-12-19,396.13
2022-12-20,396.47
2022-12-21,394.25
2022-12-22,396.26
2022-12-23,392.26
2022-12-24,392.26
2022-12-25,392.26
2022-12-26,392.02
2022-12-27,392.32
2022-12-28,385.68
2022-12-29,381.22
2022-12-30,381.52
2022-12-31,381.52
2023-01-01,381.52
2023-01-02,381.01
2023-01-03,383.13
2023-01-04,380.53
2023-01-05,390.75
2023-01-06,385.28
2023-01-07,385.28
2023-01-08,385.28
2023-01-09,366.3
2023-01-10,366.51
2023-01-11,347.17
2023-01-12,334.39
2023-01-13,324.72
2023-01-14,324.72
2023-01-15,324.72
2023-01-16,328.69
2023-01-17,326.83
2023-01-18,298.05
2023-01-19,310.69
2023-01-20,314.61
2023-01-21,314.61
2023-01-22,314.61
2023-01-23,306.88
2023-01-24,294.22
2023-01-25,289.17
2023-01-26,271.84
2023-01-27,267.79
2023-01-28,267.79
2023-01-29,267.79
2023-01-30,281.81
2023-01-31,284.15
2023-02-01,281.73
2023-02-02,271.32
2023-02-03,286.74
2023-02-04,286.74
2023-02-05,286.74
2023-02-06,294.33
2023-02-07,281.5
2023-02-08,291.3
2023-02-09,293.53
2023-02-10,318.57
2023-02-11,318.57
2023-02-12,318.57
2023-02-13,328.43
2023-02-14,322.13
2023-02-15,323.81
2023-02-16,327.14
2023-02-17,331.97
2023-02-18,331.97
2023-02-19,331.97
2023-02-20,334.62
2023-02-21,354.2
2023-02-22,363.8
2023-02-23,346.44
2023-02-24,349.24
2023-02-25,349.24
2023-02-26,349.24
2023-02-27,348.05
2023-02-28,345.09
2023-03-01,341.36
2023-03-02,349.18
2023-03-03,355.15
2023-03-04,355.15
2023-03-05,355.15
2023-03-06,358.17
2023-03-07,361.17
2023-03-08,368.93
2023-03-09,373.93
2023-03-10,387.49
2023-03-11,387.49
2023-03-12,387.49
2023-03-13,423.94
2023-03-14,423.97
2023-03-15,1266.59
2023-03-16,1008.21
2023-03-17,1067.71
2023-03-18,1067.71
2023-03-19,1067.71
2023-03-20,369.43
2023-03-21,236.33
2023-03-22,232.73
2023-03-23,214.91
2023-03-24,229.64
2023-03-25,229.64
2023-03-26,229.64
2023-03-27,230.03
2023-03-28,235.41
2023-03-29,230.59
2023-03-30,205.49
2023-03-31,200.67
2023-04-01,200.67
2023-04-02,200.67
2023-04-03,190.36
2023-04-04,190.25
2023-04-05,195.16
2023-04-06,205.4
2023-04-07,203.07
2023-04-08,203.07
2023-04-09,203.07
2023-04-10,202.9
2023-04-11,203.04
2023-04-12,192.87
2023-04-13,192.89
2023-04-14,190.38
2023-04-15,190.38
2023-04-16,190.38
2023-04-17,185.45
2023-04-18,182.89
2023-04-19,176.43
2023-04-20,176.36
